"no","product","pack","weight_mc","gross_weight","total_ctn","net_weight_kg","gross_weight_kg","total_rw_price","finished_goods","pack_cost","unit_price","total_amount","remark"
"1","RIVER PANGASH/G - 4  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","50","1000","1020.5","0","0","0","0","0",""
"2","RIVER PANGASH/G - 5  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","25","500","520.5","0","0","0","0","0",""
"3","RIVER PANGASH/G - 6  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","2","40","60.5","0","0","0","0","0",""
"4","LONG BAIM/CLN/SKIN OFF ","500 G. X 20 BLK/CTN WITH PRINT BAG","10","20","50","500","520","0","0","0","0","0","CK27/006/AS-2425"
"5","BACHA/WR/BLK ","500 G. X 20 BLK/CTN WITH PRINT BAG","10","20","100","1000","1020","0","0","0","0","0",""
"6","PABDA/WR/BLK - 7 " UP.","500 G. X 20 BLK/CTN WITH PRINT BAG","10","20","50","500","520","0","0","0","0","0","S025/25-26"
"7","CARFU/G - 3  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","5","100","120.5","0","0","0","0","0",""
"8","KORAL/G  - 1  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","125","2500","2520.5","0","0","0","0","0","001CK-TH-25"
"9","TILAPIA/G - 1  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","50","1000","1020.5","0","0","0","0","0",""
"10","LONG BAIM/G - 18 " UP.","IWP 20 KG./CTN WITH STICKER","20","20.5","50","1000","1020.5","0","0","0","0","0","CK27/006/AS-2425"
"11","MAGUR/G - 200-300  G./PCS.","1 KG. X 10 BAG/CTN WITH RIDER","10","10.5","100","1000","1010.5","0","0","0","0","0","4 PCS."
"12","MAGUR/G - 300-500  G./PCS.","1 KG. X 10 BAG/CTN WITH RIDER","10","10.5","100","1000","1010.5","0","0","0","0","0","3 PCS."
"13","AYER/G - 3  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","50","1000","1020.5","0","0","0","0","0","CK29/023/AS-2425"
"14","DRY SHRIMP ","100 G. X 50 BAG/CTN WITH PRINT BAG MYANMAR","5","5.5","95","475","480.5","0","0","0","0","0","104&02-07-2025"
"15","DRY SURI ","500 G. X 20 BAG/CTN WITH PRINT BAG MYANMAR","10","10.5","20","200","210.5","0","0","0","0","0","083&21-12-2024"
"16","PUTI/CLN/BLK ","500 G. X 20 BLK/CTN WITH PRINT BAG","10","20","25","250","270","0","0","0","0","0",""
"17","TILAPIA/CLN - 200-300  G./PCS.","1 KG. X 10 BAG/CTN WITH RIDER","10","10.5","100","1000","1010.5","0","0","0","0","0",""
"18","ROHU/G - 1  KG.UP","IWP 20 KG.(2 PCS/BAG) CTN WITH STICKER","20","20.5","150","3000","3020.5","0","0","0","0","0",""
"19","CHITAL/SO/G - 2  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","25","500","520.5","0","0","0","0","0","CK29/023/AS-2425"
"20","CHITAL/SO/G - 3  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","50","1000","1020.5","0","0","0","0","0","CK29/023/AS-2425"
"21","DRY KESKI ","100 G. X 50 BAG/CTN WITH PRINT BAG MYANMAR","5","5.5","95","475","480.5","0","0","0","0","0","103&21-04-2025"
"22","DRY TANGRA ","100 G. X 50 BAG/CTN WITH PRINT BAG MYANMAR","5","5.5","50","250","255.5","0","0","0","0","0","103&21-04-2025"
"23","DRY BATASHI ","100 G. X 50 BAG/CTN WITH PRINT BAG MYANMAR","5","5.5","20","100","105.5","0","0","0","0","0","DRY SWEET WATER,103&21-04-2025"
"24","AYER/G - 4  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","27","540","560.5","0","0","0","0","0","CK29/023/AS-2425"
"25","AYER/G - 5  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","20","400","420.5","0","0","0","0","0","CK29/023/AS-2425"
"26","AYER/G - 7  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","16","320","340.5","0","0","0","0","0","CK29/023/AS-2425"
"27","CHITAL MINCED ","200 G. X 25 BAG/CTN WITH STICKER","5","5.5","200","1000","1005.5","0","0","0","0","0",""
"28","BOAL/G - 3  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","20","400","420.5","0","0","0","0","0","CK29/023/AS-2425"
"29","BOAL/G - 4  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","52","1040","1060.5","0","0","0","0","0","CK29/023/AS-2425"
"30","BOAL/G - 5  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","55","1100","1120.5","0","0","0","0","0","CK29/023/AS-2425"
"31","BOAL/G - 7  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","22","440","460.5","0","0","0","0","0","CK29/023/AS-2425"
"32","ROHU/G - 1.5  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","100","2000","2020.5","0","0","0","0","0",""